student_id,branch_id,cgpa,active_backlogs,has_internship,gender,current_degree,internship_count,resume_score,coding_score,communication_score,placement_status,graduation_year
ST0026,2,7.06,0,False,Female,B.Tech,1,68,68,96,Eligible,2027
ST0027,1,6.39,0,False,Male,B.Tech,0,63,68,92,Eligible,2027
ST0028,1,9.49,1,False,Female,B.Tech,0,88,95,70,Eligible,2027
ST0029,4,9.79,0,False,Male,B.Tech,0,100,98,80,Eligible,2027
ST0030,3,8.53,0,False,Male,B.Tech,0,83,89,92,Eligible,2027
ST0031,4,7.27,0,False,Female,B.Tech,0,66,63,75,Eligible,2027
ST0032,2,8.69,0,True,Male,B.Tech,0,99,89,83,Eligible,2027
ST0033,3,8.55,0,False,Male,B.Tech,1,92,89,73,Eligible,2027
ST0034,3,6.26,0,True,Male,B.Tech,0,70,52,91,Eligible,2027
ST0035,5,6.55,0,False,Male,B.Tech,0,62,72,56,Eligible,2027
ST0036,2,9.75,0,False,Male,B.Tech,0,100,93,61,Eligible,2027
ST0037,5,9.84,0,True,Female,B.Tech,0,97,100,86,Eligible,2027
ST0038,3,9.4,0,False,Male,B.Tech,0,95,88,51,Eligible,2027
ST0039,4,9.36,0,False,Female,B.Tech,0,89,100,58,Eligible,2027
ST0040,4,8.97,0,False,Male,B.Tech,0,82,99,57,Eligible,2027
ST0041,5,7.74,0,False,Female,B.Tech,0,79,83,100,Eligible,2027
ST0042,2,7.72,0,True,Male,B.Tech,1,84,87,99,Eligible,2027
ST0043,5,9.71,1,False,Male,B.Tech,1,100,91,79,Eligible,2027
ST0044,2,6.92,0,False,Male,B.Tech,0,74,73,61,Eligible,2027
ST0045,2,7.2,0,False,Male,B.Tech,0,77,63,85,Eligible,2027
ST0046,5,9.09,0,False,Male,B.Tech,0,94,96,71,Eligible,2027
ST0047,3,6.35,0,False,Female,B.Tech,0,70,70,81,Eligible,2027
ST0048,2,9.61,0,False,Female,B.Tech,0,100,97,100,Eligible,2027
ST0049,5,6.98,1,False,Male,B.Tech,0,71,68,95,Eligible,2027
ST0050,2,6.22,0,False,Female,B.Tech,1,67,67,86,Eligible,2027
ST0051,4,6.66,0,False,Female,B.Tech,1,63,75,74,Eligible,2027
ST0052,1,8.91,1,False,Male,B.Tech,0,93,82,72,Eligible,2027
ST0053,1,9.79,0,False,Male,B.Tech,1,94,97,87,Eligible,2027
ST0054,5,6.07,0,False,Male,B.Tech,0,57,52,59,Eligible,2027
ST0055,1,7.88,0,True,Male,B.Tech,1,87,85,57,Eligible,2027
ST0056,4,9.51,0,False,Male,B.Tech,1,93,94,67,Eligible,2027
ST0057,1,9.41,0,False,Female,B.Tech,0,88,100,96,Eligible,2027
ST0058,1,8.38,0,False,Female,B.Tech,0,89,85,95,Eligible,2027
ST0059,3,8.9,0,True,Female,B.Tech,1,99,87,52,Eligible,2027
ST0060,4,7.83,0,False,Female,B.Tech,0,76,86,81,Eligible,2027
ST0061,2,6.29,0,False,Male,B.Tech,0,54,68,87,Eligible,2027
ST0062,2,6.79,0,True,Male,B.Tech,0,67,68,71,Eligible,2027
ST0063,5,9.29,0,False,Female,B.Tech,0,93,89,72,Eligible,2027
ST0064,1,9.09,0,False,Female,B.Tech,0,83,99,50,Eligible,2027
ST0065,4,8.49,0,False,Male,B.Tech,0,84,94,58,Eligible,2027
ST0066,5,9.08,0,False,Male,B.Tech,0,89,89,95,Eligible,2027
ST0067,1,9.58,0,True,Male,B.Tech,0,94,100,77,Eligible,2027
ST0068,4,7.92,0,False,Female,B.Tech,0,73,78,95,Eligible,2027
ST0069,5,8.84,0,False,Female,B.Tech,0,92,89,90,Eligible,2027
ST0070,3,9.53,0,True,Female,B.Tech,0,100,90,97,Eligible,2027
ST0071,2,7.69,0,True,Male,B.Tech,0,77,66,72,Eligible,2027
ST0072,5,7.46,1,True,Male,B.Tech,0,71,72,70,Eligible,2027
ST0073,4,8.83,0,False,Male,B.Tech,2,83,79,88,Eligible,2027
ST0074,3,8.98,0,True,Female,B.Tech,1,98,94,98,Eligible,2027
ST0075,5,7.25,0,False,Female,B.Tech,0,72,67,63,Eligible,2027
ST0076,4,7.63,0,False,Male,B.Tech,0,80,72,59,Eligible,2027
ST0077,3,6.82,1,False,Male,B.Tech,0,76,72,60,Eligible,2027
ST0078,3,6.07,0,False,Male,B.Tech,0,65,69,92,Eligible,2027
ST0079,5,9.5,0,True,Female,B.Tech,0,100,86,84,Eligible,2027
ST0080,5,9.35,0,True,Female,B.Tech,0,99,99,97,Eligible,2027
ST0081,3,8.15,0,False,Male,B.Tech,0,84,90,58,Eligible,2027
ST0082,2,6.17,0,True,Male,B.Tech,1,58,59,95,Eligible,2027
ST0083,3,7.46,0,True,Female,B.Tech,0,83,74,52,Eligible,2027
ST0084,3,7.04,0,False,Female,B.Tech,0,72,69,85,Eligible,2027
ST0085,2,7.13,0,False,Female,B.Tech,1,66,76,79,Eligible,2027
ST0086,2,9.53,0,False,Male,B.Tech,0,97,89,56,Eligible,2027
ST0087,3,9.64,0,False,Female,B.Tech,1,89,97,76,Eligible,2027
ST0088,4,9.98,0,False,Female,B.Tech,1,91,100,91,Eligible,2027
ST0089,2,7.74,0,False,Female,B.Tech,0,75,85,67,Eligible,2027
ST0090,1,7.52,0,False,Female,B.Tech,0,72,73,60,Eligible,2027
ST0091,5,8.16,0,False,Female,B.Tech,0,85,77,50,Eligible,2027
ST0092,5,8.73,0,True,Male,B.Tech,0,95,90,61,Eligible,2027
ST0093,2,7.58,0,False,Female,B.Tech,0,74,77,76,Eligible,2027
ST0094,4,9.37,0,True,Male,B.Tech,1,98,87,77,Eligible,2027
ST0095,1,6.85,0,False,Male,B.Tech,1,66,74,84,Eligible,2027
ST0096,3,8.79,0,True,Female,B.Tech,0,88,77,65,Eligible,2027
ST0097,5,6.73,1,False,Male,B.Tech,0,62,73,50,Eligible,2027
ST0098,3,9.48,0,False,Female,B.Tech,0,89,86,64,Eligible,2027
ST0099,3,9.36,0,False,Female,B.Tech,0,92,100,74,Eligible,2027
ST0100,2,7.58,0,True,Male,B.Tech,1,76,83,58,Eligible,2027
ST0101,1,8.81,0,True,Female,B.Tech,0,88,80,61,Eligible,2027
ST0102,2,7.52,1,False,Female,B.Tech,0,81,82,97,Eligible,2027
ST0103,5,7.85,1,False,Male,B.Tech,0,73,68,67,Eligible,2027
ST0104,1,6.66,0,False,Male,B.Tech,0,68,58,65,Eligible,2027
ST0105,3,6.86,0,False,Female,B.Tech,1,61,69,53,Eligible,2027
ST0106,1,7.29,0,False,Male,B.Tech,1,76,72,82,Eligible,2027
ST0107,1,9.62,0,False,Male,B.Tech,0,100,100,72,Eligible,2027
ST0108,2,8.27,0,False,Female,B.Tech,2,86,77,83,Eligible,2027
ST0109,4,7.92,0,True,Female,B.Tech,0,78,77,87,Eligible,2027
ST0110,2,6.19,0,False,Male,B.Tech,1,69,69,64,Eligible,2027
ST0111,4,6.7,1,True,Female,B.Tech,0,78,66,66,Eligible,2027
ST0112,1,8.06,0,False,Female,B.Tech,2,82,74,58,Eligible,2027
ST0113,2,9.55,0,True,Female,B.Tech,0,100,88,59,Eligible,2027
ST0114,4,9.86,0,False,Female,B.Tech,0,100,100,87,Eligible,2027
ST0115,2,9.61,0,False,Male,B.Tech,2,96,92,100,Eligible,2027
ST0116,4,9.01,0,False,Female,B.Tech,0,98,94,51,Eligible,2027
ST0117,5,9.03,1,True,Male,B.Tech,1,95,92,76,Eligible,2027
ST0118,1,8.96,0,False,Female,B.Tech,1,87,89,84,Eligible,2027
ST0119,2,6.02,0,False,Female,B.Tech,1,67,62,94,Eligible,2027
ST0120,2,9.62,0,True,Female,B.Tech,0,100,100,94,Eligible,2027
ST0121,3,7.72,1,False,Male,B.Tech,2,80,85,61,Eligible,2027
ST0122,3,6.8,0,False,Male,B.Tech,0,60,63,66,Eligible,2027
ST0123,3,7.46,0,False,Male,B.Tech,0,80,71,84,Eligible,2027
ST0124,1,8.1,0,False,Female,B.Tech,1,83,85,91,Eligible,2027
ST0125,4,8.24,0,True,Male,B.Tech,0,89,81,95,Eligible,2027
ST0126,1,6.05,0,True,Female,B.Tech,1,63,51,97,Eligible,2027
ST0127,3,6.34,0,False,Male,B.Tech,0,68,58,99,Eligible,2027
ST0128,3,7.74,0,False,Female,B.Tech,1,69,76,93,Eligible,2027
ST0129,3,9.1,0,True,Male,B.Tech,1,100,81,76,Eligible,2027
ST0130,1,9.49,0,False,Male,B.Tech,0,93,88,70,Eligible,2027
ST0131,2,8.75,0,False,Male,B.Tech,1,92,90,67,Eligible,2027
ST0132,3,9.82,0,False,Female,B.Tech,1,91,92,66,Eligible,2027
ST0133,3,6.42,0,True,Female,B.Tech,0,68,73,84,Eligible,2027
ST0134,2,6.19,0,True,Male,B.Tech,1,65,55,79,Eligible,2027
ST0135,1,6.82,0,True,Male,B.Tech,0,74,75,90,Eligible,2027
ST0136,2,9.98,0,False,Female,B.Tech,1,100,95,58,Eligible,2027
ST0137,4,8.89,0,True,Male,B.Tech,0,95,86,84,Eligible,2027
ST0138,1,9.17,0,False,Female,B.Tech,2,95,88,82,Eligible,2027
ST0139,4,7.23,0,False,Male,B.Tech,1,68,73,60,Eligible,2027
ST0140,2,8.48,0,False,Male,B.Tech,0,82,88,66,Eligible,2027
ST0141,5,6.31,0,False,Male,B.Tech,1,65,54,83,Eligible,2027
ST0142,4,9.98,0,False,Female,B.Tech,0,94,95,83,Eligible,2027
ST0143,4,9.08,0,True,Male,B.Tech,0,89,92,91,Eligible,2027
ST0144,1,9.9,0,False,Female,B.Tech,0,100,93,69,Eligible,2027
ST0145,4,8.83,0,True,Male,B.Tech,1,89,89,98,Eligible,2027
ST0146,1,8.74,0,False,Female,B.Tech,0,90,87,66,Eligible,2027
ST0147,2,6.86,0,False,Female,B.Tech,0,69,65,76,Eligible,2027
ST0148,5,6.21,0,False,Female,B.Tech,0,57,58,85,Eligible,2027
ST0149,3,8.87,0,False,Male,B.Tech,0,91,80,88,Eligible,2027
ST0150,2,8.13,0,False,Male,B.Tech,1,88,75,85,Eligible,2027
ST0151,5,7.78,1,False,Male,B.Tech,1,80,85,68,Eligible,2027
ST0152,1,8.03,0,False,Male,B.Tech,1,74,81,64,Eligible,2027
ST0153,4,8.48,0,False,Male,B.Tech,0,84,92,62,Eligible,2027
ST0154,2,8.85,0,False,Female,B.Tech,0,96,87,68,Eligible,2027
ST0155,3,8.9,0,False,Male,B.Tech,0,85,85,66,Eligible,2027
ST0156,3,9.6,0,True,Male,B.Tech,0,100,92,84,Eligible,2027
ST0157,2,9.15,0,False,Female,B.Tech,0,86,90,95,Eligible,2027
ST0158,2,6.09,2,False,Female,B.Tech,0,52,61,93,Eligible,2027
ST0159,3,7.58,0,False,Male,B.Tech,0,76,73,93,Eligible,2027
ST0160,5,7.94,0,False,Female,B.Tech,0,77,74,76,Eligible,2027
ST0161,1,7.4,0,True,Male,B.Tech,1,78,80,98,Eligible,2027
ST0162,2,9.48,0,True,Male,B.Tech,1,95,86,58,Eligible,2027
ST0163,5,7.14,0,False,Male,B.Tech,0,66,76,58,Eligible,2027
ST0164,5,9.63,1,False,Male,B.Tech,0,99,100,64,Eligible,2027
ST0165,5,6.04,0,False,Male,B.Tech,0,55,63,100,Eligible,2027
ST0166,1,9.7,0,False,Male,B.Tech,1,92,97,67,Eligible,2027
ST0167,2,6.58,0,True,Female,B.Tech,1,73,66,61,Eligible,2027
ST0168,5,9.3,0,True,Male,B.Tech,1,94,100,66,Eligible,2027
ST0169,5,6.27,0,True,Female,B.Tech,0,67,69,100,Eligible,2027
ST0170,2,7.55,0,True,Female,B.Tech,0,85,78,82,Eligible,2027
ST0171,1,7.54,0,False,Male,B.Tech,0,81,78,76,Eligible,2027
ST0172,5,9.36,0,True,Male,B.Tech,0,100,98,70,Eligible,2027
ST0173,3,9.13,0,False,Female,B.Tech,0,86,95,74,Eligible,2027
ST0174,2,9.63,0,False,Female,B.Tech,2,98,97,58,Eligible,2027
ST0175,4,9.68,0,True,Male,B.Tech,1,100,100,83,Eligible,2027
ST0176,2,6.58,0,False,Female,B.Tech,0,65,58,86,Eligible,2027
ST0177,3,8.52,0,False,Male,B.Tech,0,84,93,56,Eligible,2027
ST0178,1,7.32,0,False,Male,B.Tech,2,67,68,65,Eligible,2027
ST0179,3,8.64,0,False,Female,B.Tech,0,78,83,98,Eligible,2027
ST0180,1,6.46,1,True,Male,B.Tech,0,71,58,82,Eligible,2027
ST0181,5,8.5,0,True,Male,B.Tech,0,90,83,78,Eligible,2027
ST0182,2,6.54,0,True,Male,B.Tech,0,64,71,96,Eligible,2027
ST0183,1,8.13,0,False,Male,B.Tech,0,77,80,88,Eligible,2027
ST0184,4,8.55,0,False,Female,B.Tech,0,92,95,99,Eligible,2027
ST0185,3,6.07,1,False,Female,B.Tech,1,59,68,57,Eligible,2027
ST0186,2,7.89,0,False,Female,B.Tech,0,72,84,95,Eligible,2027
ST0187,3,7.47,0,True,Female,B.Tech,0,72,73,73,Eligible,2027
ST0188,3,7.89,0,True,Female,B.Tech,0,76,78,56,Eligible,2027
ST0189,4,6.85,0,True,Female,B.Tech,1,72,64,80,Eligible,2027
ST0190,1,7.87,0,True,Female,B.Tech,0,88,88,88,Eligible,2027
ST0191,3,7.83,0,True,Male,B.Tech,1,83,78,56,Eligible,2027
ST0192,2,6.29,0,False,Male,B.Tech,0,60,53,99,Eligible,2027
ST0193,3,6.72,0,False,Female,B.Tech,0,62,76,82,Eligible,2027
ST0194,4,8.78,0,False,Male,B.Tech,2,80,81,55,Eligible,2027
ST0195,2,7.35,0,True,Female,B.Tech,0,76,78,61,Eligible,2027
ST0196,5,8.04,0,False,Male,B.Tech,0,88,75,97,Eligible,2027
ST0197,1,7.75,0,False,Female,B.Tech,1,71,68,67,Eligible,2027
ST0198,1,6.95,0,True,Male,B.Tech,0,77,65,54,Eligible,2027
ST0199,5,7.33,0,False,Female,B.Tech,0,66,70,98,Eligible,2027
ST0200,1,7.02,0,False,Male,B.Tech,0,70,64,99,Eligible,2027
ST0201,4,6.74,0,False,Female,B.Tech,0,59,73,58,Eligible,2027
ST0202,3,9.06,0,True,Female,B.Tech,0,98,89,50,Eligible,2027
ST0203,4,8.23,0,False,Male,B.Tech,2,89,74,85,Eligible,2027
ST0204,3,8.27,0,False,Male,B.Tech,0,76,87,71,Eligible,2027
ST0205,4,6.44,0,False,Female,B.Tech,0,61,73,62,Eligible,2027
ST0206,1,8.16,0,True,Female,B.Tech,1,94,84,86,Eligible,2027
ST0207,3,7.91,0,False,Male,B.Tech,1,86,89,74,Eligible,2027
ST0208,5,7.85,0,False,Male,B.Tech,0,85,86,92,Eligible,2027
ST0209,4,9.4,0,False,Female,B.Tech,0,90,86,78,Eligible,2027
ST0210,5,9.54,0,True,Female,B.Tech,0,95,89,97,Eligible,2027
ST0211,2,7.87,0,False,Female,B.Tech,1,84,83,98,Eligible,2027
ST0212,2,6.96,0,False,Male,B.Tech,1,72,67,71,Eligible,2027
ST0213,4,6.73,0,True,Female,B.Tech,1,66,77,68,Eligible,2027
ST0214,2,6.03,0,False,Male,B.Tech,0,55,51,68,Eligible,2027
ST0215,2,7.28,0,False,Female,B.Tech,0,74,62,90,Eligible,2027
ST0216,2,9.49,0,False,Male,B.Tech,1,86,95,65,Eligible,2027
ST0217,3,9.33,1,False,Male,B.Tech,1,95,100,86,Eligible,2027
ST0218,2,9.98,0,False,Female,B.Tech,0,93,94,83,Eligible,2027
ST0219,4,8.41,0,False,Male,B.Tech,0,91,76,51,Eligible,2027
ST0220,1,9.73,1,False,Female,B.Tech,0,97,100,59,Eligible,2027
ST0221,4,7.19,0,False,Female,B.Tech,0,78,77,83,Eligible,2027
ST0222,2,6.29,0,False,Female,B.Tech,1,61,59,58,Eligible,2027
ST0223,3,8.77,0,False,Female,B.Tech,1,79,79,62,Eligible,2027
ST0224,5,7.22,0,False,Female,B.Tech,1,67,73,65,Eligible,2027
ST0225,5,9.51,1,True,Female,B.Tech,0,99,85,84,Eligible,2027
ST0226,1,9.89,0,False,Male,B.Tech,0,100,100,63,Eligible,2027
ST0227,4,7.47,0,False,Male,B.Tech,0,73,64,71,Eligible,2027
ST0228,3,6.68,2,False,Female,B.Tech,0,62,58,84,Eligible,2027
ST0229,2,7.51,0,False,Female,B.Tech,0,68,75,62,Eligible,2027
ST0230,3,8.99,0,False,Male,B.Tech,0,96,94,59,Eligible,2027
ST0231,3,6.68,0,False,Female,B.Tech,0,65,61,54,Eligible,2027
ST0232,4,7.97,0,False,Male,B.Tech,0,76,80,81,Eligible,2027
ST0233,1,9.06,0,False,Female,B.Tech,1,93,95,81,Eligible,2027
ST0234,5,6.72,0,False,Male,B.Tech,1,63,69,94,Eligible,2027
ST0235,5,9.05,0,True,Female,B.Tech,0,99,85,92,Eligible,2027
ST0236,2,9.0,0,False,Female,B.Tech,0,83,95,65,Eligible,2027
ST0237,1,8.38,0,False,Male,B.Tech,0,84,77,62,Eligible,2027
ST0238,5,9.63,0,False,Female,B.Tech,1,89,90,78,Eligible,2027
ST0239,2,6.5,1,True,Female,B.Tech,0,77,58,54,Eligible,2027
ST0240,3,8.6,0,False,Male,B.Tech,0,94,86,67,Eligible,2027
ST0241,2,9.19,0,False,Male,B.Tech,0,86,98,67,Eligible,2027
ST0242,5,9.18,0,False,Female,B.Tech,0,97,89,60,Eligible,2027
ST0243,4,9.61,0,True,Male,B.Tech,0,100,86,92,Eligible,2027
ST0244,1,7.56,0,True,Female,B.Tech,0,74,65,76,Eligible,2027
ST0245,2,6.81,0,False,Female,B.Tech,0,71,60,87,Eligible,2027
ST0246,1,9.06,1,False,Female,B.Tech,0,86,93,52,Eligible,2027
ST0247,2,7.54,0,True,Female,B.Tech,1,82,77,78,Eligible,2027
ST0248,2,7.79,0,False,Male,B.Tech,0,81,70,92,Eligible,2027
ST0249,5,9.32,0,True,Male,B.Tech,1,93,99,98,Eligible,2027
ST0250,5,8.83,0,True,Female,B.Tech,0,96,81,70,Eligible,2027
ST0251,4,9.22,0,False,Male,B.Tech,1,91,89,98,Eligible,2027
ST0252,4,6.68,0,False,Male,B.Tech,0,69,65,97,Eligible,2027
ST0253,1,9.02,0,True,Male,B.Tech,0,96,97,59,Eligible,2027
ST0254,4,9.16,0,False,Male,B.Tech,0,97,96,91,Eligible,2027
ST0255,3,9.0,0,False,Male,B.Tech,0,92,86,78,Eligible,2027
ST0256,1,7.98,0,False,Female,B.Tech,0,75,72,99,Eligible,2027
ST0257,5,6.24,0,False,Male,B.Tech,0,64,64,56,Eligible,2027
ST0258,1,7.84,0,False,Female,B.Tech,1,81,70,87,Eligible,2027
ST0259,5,6.76,0,False,Male,B.Tech,1,74,77,52,Eligible,2027
ST0260,5,7.35,2,False,Male,B.Tech,0,73,72,69,Eligible,2027
ST0261,3,6.32,0,False,Female,B.Tech,0,58,64,84,Eligible,2027
ST0262,5,8.17,0,False,Female,B.Tech,0,79,91,57,Eligible,2027
ST0263,3,7.81,0,False,Male,B.Tech,0,85,71,52,Eligible,2027
ST0264,5,9.57,0,False,Female,B.Tech,1,92,88,78,Eligible,2027
ST0265,4,7.48,0,False,Male,B.Tech,0,74,68,68,Eligible,2027
ST0266,3,7.64,0,True,Female,B.Tech,1,83,83,85,Eligible,2027
ST0267,1,6.71,2,True,Male,B.Tech,1,78,66,64,Eligible,2027
ST0268,1,6.7,0,False,Female,B.Tech,0,61,59,82,Eligible,2027
ST0269,2,7.1,0,False,Female,B.Tech,0,72,77,76,Eligible,2027
ST0270,5,6.33,0,True,Male,B.Tech,0,67,55,72,Eligible,2027
ST0271,4,7.28,0,False,Female,B.Tech,0,67,75,70,Eligible,2027
ST0272,1,8.55,0,True,Female,B.Tech,0,93,78,69,Eligible,2027
ST0273,1,8.03,0,False,Male,B.Tech,1,83,86,86,Eligible,2027
ST0274,3,7.72,0,True,Female,B.Tech,1,74,76,57,Eligible,2027
ST0275,1,6.73,0,False,Male,B.Tech,1,67,60,94,Eligible,2027
ST0276,5,7.99,0,False,Female,B.Tech,0,73,75,63,Eligible,2027
ST0277,2,7.08,0,False,Male,B.Tech,0,71,62,64,Eligible,2027
ST0278,4,7.58,0,False,Female,B.Tech,0,83,67,78,Eligible,2027
ST0279,1,9.88,0,False,Female,B.Tech,0,96,98,52,Eligible,2027
ST0280,4,6.46,0,True,Female,B.Tech,0,63,68,95,Eligible,2027
ST0281,4,7.91,0,True,Female,B.Tech,0,82,72,100,Eligible,2027
ST0282,4,9.37,0,True,Female,B.Tech,1,100,98,56,Eligible,2027
ST0283,2,7.9,1,True,Male,B.Tech,0,83,73,53,Eligible,2027
ST0284,3,7.58,0,True,Male,B.Tech,2,76,79,89,Eligible,2027
ST0285,1,7.92,1,False,Female,B.Tech,0,85,86,71,Eligible,2027
ST0286,5,8.71,0,False,Male,B.Tech,0,87,85,56,Eligible,2027
ST0287,4,6.65,0,False,Male,B.Tech,1,63,69,60,Eligible,2027
ST0288,5,8.45,0,False,Male,B.Tech,0,90,82,97,Eligible,2027
ST0289,1,7.4,0,True,Female,B.Tech,1,80,72,67,Eligible,2027
ST0290,2,6.29,0,True,Male,B.Tech,0,72,52,57,Eligible,2027
ST0291,4,6.2,0,False,Male,B.Tech,1,63,55,92,Eligible,2027
ST0292,1,7.45,0,True,Female,B.Tech,0,71,83,61,Eligible,2027
ST0293,2,6.94,0,False,Female,B.Tech,0,72,62,53,Eligible,2027
ST0294,5,7.39,0,False,Female,B.Tech,0,66,66,73,Eligible,2027
ST0295,2,9.4,0,False,Male,B.Tech,1,100,86,67,Eligible,2027
ST0296,4,9.84,0,False,Male,B.Tech,0,92,88,53,Eligible,2027
ST0297,3,9.12,0,True,Female,B.Tech,0,95,96,98,Eligible,2027
ST0298,5,8.63,0,False,Female,B.Tech,0,90,88,84,Eligible,2027
ST0299,3,7.74,0,True,Male,B.Tech,0,83,80,63,Eligible,2027
ST0300,4,6.53,0,False,Female,B.Tech,0,60,69,99,Eligible,2027
ST0301,5,8.35,0,False,Female,B.Tech,0,85,84,70,Eligible,2027
ST0302,3,7.11,0,True,Female,B.Tech,2,81,72,89,Eligible,2027
ST0303,2,7.59,0,False,Male,B.Tech,0,75,66,88,Eligible,2027
ST0304,2,7.62,0,False,Male,B.Tech,1,84,74,56,Eligible,2027
ST0305,3,9.13,0,False,Female,B.Tech,0,92,94,80,Eligible,2027
ST0306,2,6.6,0,True,Female,B.Tech,0,69,70,51,Eligible,2027
ST0307,5,8.59,0,False,Female,B.Tech,0,86,77,92,Eligible,2027
ST0308,3,6.21,2,False,Female,B.Tech,0,61,71,84,Eligible,2027
ST0309,1,8.56,0,False,Female,B.Tech,0,86,88,67,Eligible,2027
ST0310,1,8.93,0,False,Female,B.Tech,1,85,97,94,Eligible,2027
ST0311,1,8.44,0,False,Male,B.Tech,1,79,87,95,Eligible,2027
ST0312,4,8.62,0,False,Female,B.Tech,0,89,80,78,Eligible,2027
ST0313,4,9.63,0,True,Female,B.Tech,1,100,97,93,Eligible,2027
ST0314,4,9.93,1,False,Male,B.Tech,0,100,100,90,Eligible,2027
ST0315,3,6.94,0,True,Male,B.Tech,0,66,69,77,Eligible,2027
ST0316,2,9.42,0,True,Female,B.Tech,0,98,93,100,Eligible,2027
ST0317,4,7.38,0,False,Female,B.Tech,0,77,63,95,Eligible,2027
ST0318,2,7.54,0,False,Male,B.Tech,1,73,70,86,Eligible,2027
ST0319,3,7.6,0,False,Male,B.Tech,1,82,78,92,Eligible,2027
ST0320,5,7.33,0,True,Male,B.Tech,0,85,72,80,Eligible,2027
ST0321,5,8.73,0,False,Male,B.Tech,0,83,83,82,Eligible,2027
ST0322,4,7.82,0,True,Female,B.Tech,2,87,82,67,Eligible,2027
ST0323,2,7.23,0,False,Male,B.Tech,2,78,79,83,Eligible,2027
ST0324,1,7.3,0,False,Male,B.Tech,2,73,75,99,Eligible,2027
ST0325,2,8.39,1,True,Female,B.Tech,0,96,86,88,Eligible,2027
ST0326,2,9.85,0,True,Male,B.Tech,0,97,95,93,Eligible,2027
ST0327,2,8.94,0,True,Male,B.Tech,0,95,81,68,Eligible,2027
ST0328,1,8.6,0,False,Female,B.Tech,0,81,92,98,Eligible,2027
ST0329,1,7.34,0,False,Male,B.Tech,1,73,74,84,Eligible,2027
ST0330,1,6.91,0,False,Male,B.Tech,1,66,60,73,Eligible,2027
ST0331,2,6.1,1,False,Female,B.Tech,0,61,69,93,Eligible,2027
ST0332,2,6.51,0,False,Female,B.Tech,2,73,61,56,Eligible,2027
ST0333,2,8.63,0,False,Male,B.Tech,0,89,94,95,Eligible,2027
ST0334,5,9.48,1,False,Female,B.Tech,1,100,96,87,Eligible,2027
ST0335,5,8.37,1,False,Female,B.Tech,2,88,79,65,Eligible,2027
ST0336,5,9.46,0,False,Male,B.Tech,0,93,100,60,Eligible,2027
ST0337,1,8.6,0,False,Male,B.Tech,0,92,76,94,Eligible,2027
ST0338,5,8.42,0,False,Female,B.Tech,0,81,78,70,Eligible,2027
ST0339,5,9.14,0,False,Male,B.Tech,0,95,84,55,Eligible,2027
ST0340,2,8.81,0,False,Male,B.Tech,0,92,88,94,Eligible,2027
ST0341,3,7.96,0,False,Male,B.Tech,1,76,79,94,Eligible,2027
ST0342,4,6.59,0,False,Male,B.Tech,0,65,61,94,Eligible,2027
ST0343,1,9.77,0,False,Female,B.Tech,1,95,100,75,Eligible,2027
ST0344,4,6.85,0,True,Female,B.Tech,0,65,77,62,Eligible,2027
ST0345,4,7.35,0,False,Male,B.Tech,2,77,66,66,Eligible,2027
ST0346,1,9.12,0,False,Male,B.Tech,1,87,85,87,Eligible,2027
